"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3"
"PH_BC_7.sorted.bam","7","BC",0.256296,0.215933,0.296805,0.249731,0.207021,0.293695,0.493973,0.45445,0.502611,0.000675,0,0.006676,0.010887,0,0.090362,0.001408,0,0.012864,0.500356,0.411252,0.584671,0.48576,0.404292,0.567083,0.000915,0,0.008912
"PH_BC_8.sorted.bam","8","BC",0.112812,0.058939,0.17355,0.12805,0.051528,0.201021,0.759137,0.694926,0.82,0.016003,0,0.101571,0.097099,0,0.262174,0.005121,0,0.054593,0.096519,0,0.293237,0.148759,0,0.38936,0.636498,0.417744,0.800344
"PH_BC_9.sorted.bam","9","BC",0.073178,0.03131,0.11636,0.254082,0.190571,0.322673,0.67274,0.612454,0.732441,0.000772,0,0.007964,0.001335,0,0.012908,0.001158,0,0.011118,0.143477,0.058993,0.228802,0.504512,0.378769,0.640857,0.348745,0.227184,0.467837
"PH_CA_12.sorted.bam","12","CA",0.85896,0.814708,0.897425,0.100539,0.054897,0.155912,0.040501,0.00036,0.081148,0.813747,0.704066,0.888866,0.073661,0,0.25457,0.04068,0,0.131276,0.016765,0,0.105869,0.046057,0,0.142978,0.00909,0,0.064652
"PH_CA_1.sorted.bam","1","CA",0.858148,0.810974,0.902668,0.132618,0.077481,0.183056,0.009233,0,0.045139,0.852509,0.797672,0.898783,0.007302,0,0.08009,0.125312,0.037521,0.182213,0.003977,0,0.03597,0.00731,0,0.059516,0.00359,0,0.034299
"PH_CA_2.sorted.bam","2","CA",0.882326,0.835861,0.926363,0.075248,0.016809,0.144376,0.042426,0.00011,0.092356,0.877803,0.826855,0.923554,0.003138,0,0.031579,0.048059,0,0.139926,0.005908,0,0.054281,0.05124,0,0.137551,0.013852,0,0.085421
"PH_CA_3.sorted.bam","3","CA",0.906149,0.865913,0.944328,0.078568,0.034211,0.125284,0.015283,1e-06,0.050343,0.90143,0.853751,0.942567,0.004088,0,0.036484,0.067868,0,0.122727,0.00535,0,0.041481,0.017313,0,0.092122,0.003951,0,0.028802
"PH_CA_6.sorted.bam","6","CA",0.879478,0.83234,0.921381,0.091212,0.039889,0.148631,0.02931,1.2e-05,0.071725,0.845974,0.743048,0.917418,0.052469,0,0.225262,0.051431,0,0.135465,0.014539,0,0.097622,0.027093,0,0.112328,0.008494,0,0.05711
"PH_CA_7.sorted.bam","7","CA",0.884974,0.840509,0.925215,0.102424,0.04597,0.153156,0.012602,0,0.056056,0.881822,0.83455,0.923175,0.004299,0,0.038891,0.094206,0.000324,0.151543,0.002004,0,0.019962,0.012136,0,0.093114,0.005532,0,0.044427
"PH_CA_8.sorted.bam","8","CA",0.898771,0.856657,0.937683,0.08896,0.045064,0.13606,0.012269,1e-06,0.042455,0.85679,0.752446,0.930257,0.08089,0,0.229644,0.043946,0,0.122916,0.003072,0,0.032164,0.009137,0,0.057066,0.006165,0,0.036791
