"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2"
"PH_SC_2.sorted.bam","2","SC",0.049271,0.018043,0.083776,0.950729,0.916224,0.981957,0.047668,0.015485,0.082411,0.003205,0,0.025298,0.949127,0.913572,0.980531
"PH_SC_3.sorted.bam","3","SC",0.184551,0.146764,0.222586,0.815449,0.777414,0.853236,0.001872,0,0.013897,0.365357,0.288748,0.442771,0.632771,0.556014,0.707589
"PH_SC_7.sorted.bam","7","SC",0.059243,0.027506,0.092567,0.940757,0.907433,0.972494,0.019221,0,0.07403,0.080043,1e-06,0.175672,0.900736,0.823466,0.965062
"PH_SC_8.sorted.bam","8","SC",0.046406,0.012331,0.079287,0.953594,0.920713,0.987669,0.038446,2.4e-05,0.075711,0.01592,0,0.105318,0.945634,0.888393,0.986476
"PH_SC_9.sorted.bam","9","SC",0.140056,0.106139,0.173509,0.859944,0.826491,0.893861,0.001388,0,0.010823,0.277337,0.20935,0.345366,0.721275,0.653997,0.788666
"PH_SH_1.sorted.bam","1","SH",0.558973,0.516911,0.602748,0.441027,0.397252,0.483089,0.38164,0.28,0.489154,0.354667,0.148207,0.539484,0.263693,0.162332,0.37361
"PH_SH_2.sorted.bam","2","SH",0.553593,0.510904,0.595681,0.446407,0.404319,0.489096,0.43166,0.332894,0.541728,0.243866,0.007694,0.415571,0.324474,0.231206,0.435422
"PH_SH_3.sorted.bam","3","SH",0.593139,0.550992,0.634783,0.406861,0.365217,0.449008,0.283238,0.186039,0.383653,0.619802,0.425075,0.787885,0.09696,0.000308,0.205369
"PH_SH_5.sorted.bam","5","SH",0.524687,0.476761,0.570681,0.475313,0.429319,0.523239,0.507339,0.427062,0.564574,0.034698,0,0.168174,0.457964,0.380297,0.516831
"PH_SH_6.sorted.bam","6","SH",0.502621,0.489358,0.530385,0.497379,0.469615,0.510642,0.009283,0,0.065645,0.986676,0.921618,0.999999,0.004041,0,0.030229
"PH_SH_7.sorted.bam","7","SH",0.551546,0.505784,0.600065,0.448454,0.399935,0.494216,0.495079,0.373382,0.583104,0.112935,0,0.337969,0.391986,0.267548,0.481552
"PH_SL_10.sorted.bam","10","SL",0.010143,7e-06,0.037164,0.989857,0.962836,0.999993,0.001815,0,0.012658,0.016658,0,0.071475,0.981528,0.9271,0.999991
"PH_SL_11.sorted.bam","11","SL",0.004731,1e-06,0.021314,0.995269,0.978686,0.999999,0.002706,0,0.0172,0.004051,0,0.029162,0.993243,0.968937,0.999999
"PH_SL_12.sorted.bam","12","SL",0.001212,0,0.006552,0.998788,0.993448,1,0.000659,0,0.004982,0.001107,0,0.008402,0.998234,0.990041,1
"PH_SL_1.sorted.bam","1","SL",0.001935,0,0.010327,0.998065,0.989673,1,0.001106,0,0.008307,0.001659,0,0.012182,0.997235,0.984805,1
"PH_SL_3.sorted.bam","3","SL",0.002055,0,0.011011,0.997945,0.988989,1,0.001346,0,0.009368,0.001419,0,0.010689,0.997235,0.985632,1
"PH_SL_4.sorted.bam","4","SL",0.001241,0,0.00695,0.998759,0.99305,1,0.000775,0,0.00582,0.000933,0,0.007077,0.998292,0.99084,1
"PH_SL_6.sorted.bam","6","SL",0.001845,0,0.00998,0.998155,0.99002,1,0.000937,0,0.006969,0.001814,0,0.014096,0.997248,0.984309,1
"PH_SL_8.sorted.bam","8","SL",0.499061,0.49124,0.501601,0.500939,0.498399,0.50876,0.000526,0,0.003957,0.997068,0.981248,1,0.002405,0,0.018169
"PH_SL_9.sorted.bam","9","SL",0.00179,0,0.010046,0.99821,0.989954,1,0.001082,0,0.0084,0.001416,0,0.01066,0.997502,0.986096,1
"PH_TB_10.sorted.bam","10","TB",0.010176,3e-06,0.039994,0.989824,0.960006,0.999997,0.005758,0,0.031964,0.008836,0,0.051313,0.985406,0.942515,0.999995
"PH_TB_12.sorted.bam","12","TB",0.023411,5.4e-05,0.059075,0.976589,0.940925,0.999946,0.004795,0,0.029863,0.037232,0,0.106508,0.957973,0.889577,0.999925
"PH_TB_1.sorted.bam","1","TB",0.04497,0.009851,0.080731,0.95503,0.919269,0.990149,0.032242,0,0.077358,0.025456,0,0.119923,0.942302,0.876264,0.986682
